sample_id,Indole2,Indole3,Indole1,DMSO1,DMSO2,DMSO3,TCDD1,TCDD2,TCDD3
Rpsa-ps1,3,4,7,4,0,3,2,2,2
Rpsa-ps10,7,11,21,18,15,13,23,19,18
Rpsa-ps11,13,15,28,23,31,14,17,32,14
Rpsa-ps12,3,1,3,2,2,1,1,6,3
Rpsa-ps2,0,0,0,0,0,1,0,1,0
Rpsa-ps3,0,0,0,0,0,1,0,1,1
Rpsa-ps4,1,5,2,2,2,3,1,2,5
Rpsa-ps5,0,3,0,1,0,0,1,2,0
Rpsa-ps9,4,4,2,5,2,1,2,0,4
Rptn,1,4,0,3,4,2,3,2,4
Rptor,807,907,978,958,811,900,863,1074,1011
Rptoros,0,4,1,1,2,0,0,0,3
Rpusd1,115,131,134,109,175,120,161,130,113
Rpusd2,159,185,221,154,132,134,150,203,171
Rpusd3,98,133,130,117,145,125,114,133,121
Rpusd4,319,392,436,440,357,416,277,412,426
Rqcd1,958,1080,1203,965,1015,906,955,1183,1147
Rrad,4,9,5,14,5,11,3,11,4
Rraga,1437,1584,1817,1951,1636,1796,1566,2033,1839
Rragb,2,1,4,5,2,4,0,3,1
Rragc,1657,1881,2107,1978,1523,1651,1447,2170,2027
Rragd,5,8,7,55,9,49,10,15,7
Rras,768,943,989,1143,1764,1044,1377,1038,979
Rras2,1801,2091,2254,2186,1732,1989,1601,2096,1940
Rrbp1,13406,14576,15954,15068,25479,14975,19827,17350,15245
Rreb1,3059,3407,3659,4305,2961,3800,4659,4448,4187
Rrh,0,0,1,2,0,0,2,1,0
Rrm1,948,1133,1121,854,1004,757,932,1145,1206
Rrm2,335,461,447,221,264,255,288,412,398
Rrm2b,201,180,223,315,178,239,221,230,215
Rrn3,976,1147,1250,1006,1108,919,1027,1266,1278
Rrnad1,345,362,376,369,291,325,381,414,352
Rrp1,2556,3057,3224,3347,4475,2999,3581,3785,3275
Rrp12,686,784,879,627,725,545,719,985,860
Rrp15,393,491,536,380,593,370,571,570,518
Rrp1b,613,698,848,572,554,529,655,762,763
Rrp36,443,562,616,490,582,493,546,649,580
Rrp7a,486,585,677,589,876,584,687,734,599
Rrp8,421,565,598,449,424,364,469,577,571
Rrp9,390,506,575,471,429,464,454,743,550
Rrs1,687,857,1064,638,679,726,723,968,831
Rs1,0,0,1,4,0,0,1,1,1
Rsad1,257,207,213,300,139,196,189,299,227
Rsad2,54,57,71,92,46,92,41,38,54
Rsbn1,334,372,404,412,183,364,247,357,400
Rsbn1l,510,551,645,682,447,552,565,659,643
Rsc1a1,0,0,0,0,0,0,0,0,0
Rsf1,722,696,771,808,772,770,698,738,751
Rsf1os1,0,0,0,0,0,0,0,0,0
Rsf1os2,0,3,3,2,0,0,1,0,0
Rsg1,8,14,11,6,6,12,7,11,8
Rsl1,66,73,90,95,48,85,62,63,96
Rsl1d1,2183,2576,2946,2256,2400,2046,2216,2982,2806
Rsl24d1,356,393,433,383,258,314,182,416,396
Rslcan18,4,6,3,2,3,4,9,2,5
Rsph1,18,19,14,29,38,23,20,20,16
Rsph10b,1,3,0,1,0,0,1,2,3
Rsph3a,42,45,45,43,68,53,52,68,45
Rsph3b,40,43,45,48,64,58,60,57,48
Rsph4a,0,1,0,6,0,2,0,0,1
Rsph6a,0,0,0,0,0,0,0,0,0
Rsph9,20,23,8,31,17,29,7,11,11
Rspo1,0,0,0,0,0,0,0,0,0
Rspo2,0,0,0,1,0,0,0,0,0
Rspo3,0,0,0,0,0,0,0,0,0
Rspo4,3,0,0,4,3,2,1,0,2
Rspo4os,0,1,2,0,0,0,1,0,1
Rspry1,720,846,842,660,659,650,603,773,896
Rsrc1,392,470,458,493,446,428,462,509,517
Rsrc2,1473,1570,1760,1999,2060,1810,2040,1899,1924
Rsrp1,6067,5610,6578,6509,3601,5905,3183,7331,6370
Rsu1,533,639,663,714,885,656,924,732,625
Rtbdn,6,6,7,8,1,4,6,1,1
Rtca,373,467,526,411,416,444,317,482,452
Rtcb,3002,3711,4073,3317,4091,3414,3240,3995,3890
Rtdr1,0,0,0,0,0,0,0,0,0
Rtel1,345,377,390,406,356,340,407,475,342
Rtf1,798,941,1064,786,1049,830,1144,1050,932
Rtfdc1,1285,1505,1655,1507,1550,1575,1279,1758,1602
Rtkn,278,325,328,414,357,349,378,351,382
Rtkn2,3,3,6,4,6,5,4,5,6
Rtl1,0,0,0,0,0,0,0,0,0
Rtn1,11,10,9,14,8,17,8,7,6
Rtn2,21,20,23,43,26,20,25,21,27
Rtn3,5288,5928,6420,5289,5869,5285,4575,5656,6407
Rtn4,5488,5921,6676,9633,5088,7255,4751,6917,6504
Rtn4ip1,505,573,627,602,620,561,511,700,607
