"Row.names","logFC","logCPM","PValue","FDR"," DMSO"," Indole"," TCDD"
"Cyp1b1",5.85246659775442,3.47280061285312,3.03919550875629e-79,3.37624229067736e-75,9.05579801882059,7.19625337471858,597.325423171476
"Ahrr",4.74944260670499,2.8496791953243,1.28953379420541e-52,7.16271545991393e-49,12.5483716795117,7.92248395498265,378.947832349667
"Cyp1a1",7.60554438476588,8.68863059488606,2.09933608758907e-30,7.77384153234234e-27,114.31838343474,35.0763140189508,23515.4537930102
"Tiparp",1.21375778439811,6.86391473048067,2.47519409532615e-12,6.87423280124456e-09,1419.39632316582,1269.99609425909,3661.25081890993
"Nrp2",1.00661688419378,7.22302220042947,9.8782070297604e-11,2.19474003787217e-07,1641.10463354166,2660.2421328174,3686.04564287767
"Cryab",-5.12047080659542,5.89032858842666,5.83459500091186e-10,1.08027526441883e-06,3082.60088900269,48.1502308161954,86.4318180683684
"Akr1b3",-3.65911278809303,5.33206489821043,6.37433611332302e-09,1.01160714118436e-05,1880.85865014975,130.796994399455,154.484683538308
"Ccl28",0.964754135108258,7.53519693410659,9.59525692677921e-09,1.33242136499488e-05,2080.09421798795,3338.57098819013,4606.69816756645
"Ces1f",-2.16417538771463,5.80763568637676,7.21180941466528e-08,8.01159907875166e-05,1969.54668397068,509.999008758024,474.408454185955
"Sox9",-1.02398625995938,6.39003902895125,6.72431979346213e-08,8.01159907875166e-05,1713.72522808983,1751.88117132325,896.718697518873
"Ptprt",-1.82990903379079,2.4852801735758,9.04195271426113e-07,0.000913155024570245,188.047105926865,46.2092127286533,56.5187746391887
"Lcp1",-1.72460708587849,4.1919544730524,1.27779961309323e-06,0.00110970474229138,613.719793718346,155.193262770005,194.361066046497
"Ugt1a7c",0.819497463678951,7.25232577480829,1.29860128272463e-06,0.00110970474229138,1901.6443314177,2483.07434730669,3714.27578527932
"Ugt1a6a",1.09716170584537,2.51969205364487,2.21725427281498e-06,0.00175939126547868,67.0131798908296,75.5963031041502,162.926067954786
"Aqp1",-2.08384638755998,5.19053364273251,2.9217488944243e-06,0.00216384723121064,1240.48477545218,409.92017102103,307.059119181456
"Ism1",-1.46633531243973,2.12132539433303,3.25808629967517e-06,0.00226213004394322,110.907624139237,70.6296399116227,42.8771301766402
"Neurl3",0.667013744060588,7.87039576110034,3.79699709129657e-06,0.00248122592277727,3179.1256753236,3770.76747851726,5643.74422509376
"2610035D17Rik",0.681223058720362,5.15202383439195,4.24638744664695e-06,0.00262072878582227,528.497839152283,426.921173679863,938.988397915743
"Kit",0.710840173591116,4.84147751663723,5.43530103222764e-06,0.00314877888112009,372.322218118086,478.082984927299,667.042047036777
"Tenm4",1.15443047026207,1.74933127564719,5.66887907304005e-06,0.00314877888112009,37.267861703391,45.779230546531,92.2412625088348
"Me1",-1.4629573473339,5.37470176941657,6.29803475256036e-06,0.00333166038410443,1279.27067891786,434.160649192488,490.821037102916
"S100a4",-3.05638666050315,3.13589390992754,6.82801074405406e-06,0.00344783506162257,399.139223456634,13.3244640261911,46.2256135872406
"Ccl20",-1.72700185817966,2.94458308808502,8.27080064737326e-06,0.0037371778194339,244.591589743124,81.0805432634977,75.5437334637823
"Ereg",0.680044221809623,5.95028379062139,8.65225700103043e-06,0.0037371778194339,876.492440959039,890.261343997103,1549.18434965213
"Nos2",-1.0072399734717,5.62522332773418,8.41902997374085e-06,0.0037371778194339,1314.13457020483,585.164718786524,687.659805014562
"Pla2g5",0.938726165593641,3.97855804958706,8.7466579624882e-06,0.0037371778194339,180.984488841281,267.435093302493,389.245783039675
"Loxl4",-2.01150249237223,3.13712916288499,1.0082452837162e-05,0.00414836920622344,331.494180748516,49.4833995004684,85.1707890484264
"Pof1b",0.730229835443259,7.11979945469877,1.13672148128893e-05,0.00450994247701383,1662.63678146878,2715.96602547503,3103.84801708012
"Igfbp7",-1.1746423026297,1.50053165946579,1.20898570310919e-05,0.00463124902615174,74.964118505773,32.418070177041,36.0070689079836
"Cdkn1c",-1.39609130040286,3.67383390975823,1.72872451077536e-05,0.00640146686340115,397.179861432421,114.122945352735,158.998453177897
"Sh3bgr",-1.68703997461457,3.51631807868312,1.84757303740764e-05,0.00662086737824564,384.20562249509,92.9661729728181,125.005608473208
"Card11",1.28244843017612,1.7326909871235,2.06894922780976e-05,0.00718248655366831,35.7840341596884,38.536461538549,96.3287958760636
